outdoor_air_temperature,air_temperature,relative_humidity,season,building_type,air_speed,metabolic_rate,climate_zone,cooling_type,Ziel,berechnet,delta_abs,country
15.0,23.4,40.9,winter,office,0.01,1.1,Temperate,mixed mode,1.48,0.85,0.63,india
13.5,17.8,67.7,winter,office,0.154,0.7679180887372011,Dry,naturally ventilated,2.29,1.26,1.03,pakistan
-16.65,23.1,10.7,winter,office,0.0899999999999999,1.0,Continental,air conditioned,1.5,0.76,0.74,canada
10.2,18.3,47.4,winter,office,0.07,1.2,Temperate,naturally ventilated,1.97,1.37,0.6,iran
18.8,23.1,43.1,summer,office,0.0899999999999999,1.3,Continental,air conditioned,1.6,0.61,0.99,canada
13.4,19.9,18.4,winter,office,0.06,1.3,Temperate,naturally ventilated,1.9,1.18,0.72,india
-0.4499999999999999,27.0,74.2,winter,classroom,0.1,1.2,Temperate,mixed mode,1.88,0.67,1.21,china
-21.05,19.6,62.6,winter,classroom,0.03,1.2,Temperate,mixed mode,0.26,0.85,0.59,china
-14.7,17.0,75.7,winter,classroom,0.2,1.2,Temperate,mixed mode,0.56,1.2,0.64,china
9.05,24.2,57.2,winter,classroom,0.1,1.2,Temperate,mixed mode,1.36,0.6,0.76,china
0.6500000000000001,20.7,56.7,winter,classroom,0.03,1.2,Temperate,mixed mode,1.95,0.94,1.01,china
14.5,14.6,69.3,winter,office,0.1049270618404146,1.1262798634812288,Dry,naturally ventilated,0.76,1.4,0.64,pakistan
7.4,28.3,61.5,summer,classroom,0.11,1.2,Temperate,mixed mode,1.11,0.38,0.73,china
-7.6,23.9,14.4,winter,office,0.07,1.1,Continental,air conditioned,1.7,0.89,0.81,canada
15.5,20.3,50.80000000000001,winter,office,0.1121694886978701,1.877133105802048,Dry,naturally ventilated,1.66,0.99,0.67,pakistan
-23.75,17.2,50.6,winter,others,0.05,1.2,Temperate,mixed mode,1.62,0.91,0.71,china
19.75,25.8,65.2,winter,office,0.3586929997719822,1.877133105802048,Dry,naturally ventilated,1.49,0.92,0.57,pakistan
-12.2,18.6,61.8,winter,others,0.1,1.2,Temperate,mixed mode,0.48,1.06,0.58,china
12.5,16.2,61.80000000000001,winter,office,0.0786172139789015,1.877133105802048,Dry,naturally ventilated,2.09,1.48,0.61,pakistan
0.8999999999999999,19.4,27.5,winter,classroom,0.23,1.0,Continental,air conditioned,2.13,1.5,0.63,china
7.9,19.5,74.6,winter,classroom,0.0,1.2,Temperate,mixed mode,1.8,0.76,1.04,china
13.43,17.0,52.7,summer,office,0.239121,1.0,Temperate,naturally ventilated,0.47,1.03,0.56,uk
