air_speed;metabolic_rate;clothing_ensemble_insulation;air_temperature;outdoor_air_temperature;relative_humidity
0.0;0.9;2.25;31.3;29.96;59.2
0.14;0.9;2.25;31.7;29.96;60.3
0.61;0.9;2.25;31.3;29.96;64.0
0.82;0.9;2.19;33.0;31.38;59.5
0.42;0.9;2.19;34.2;31.38;63.7
0.62;1.2;2.34;28.5;25.7;45.9
0.13;0.7;2.34;31.7;29.22;57.1
0.1;0.9;2.34;32.1;29.08;56.1
1.13;0.7;2.34;30.8;29.45;64.4
0.4617116150717706;0.6484641638225255;0.7716099999999999;27.9;20.5;17.1
0.042666668743876;0.6484641638225255;1.2578299999999996;25.4;20.5;35.6
0.05740654694695;0.6484641638225255;1.62186491;24.4;20.5;38.400000000000006
0.1457459471949615;0.6484641638225255;1.87089;24.5;20.5;22.7
0.0081813971054128;0.6484641638225255;0.5898327499999999;24.9;20.5;16.7
0.1397585069550168;0.6484641638225255;1.01343956;25.1;21.3;20.9
0.4617116150717723;0.7679180887372011;1.12042;22.8;21.75;17.6
0.6544758975838983;1.877133105802048;1.6066399999999998;23.0;21.75;17.9
0.0012072040366758;0.6484641638225255;1.7229099999999995;14.6;13.5;62.7
0.0047297590837674;0.6484641638225255;0.94388211;19.3;13.0;53.2
0.2970295134333269;0.6484641638225255;2.092859999999999;18.8;14.5;56.900000000000006
0.3571314095242421;1.877133105802048;1.4875389899999998;13.4;6.8;12.9
1.07620878927917;0.7679180887372011;1.5115099999999997;15.1;8.700000000000001;11.6
0.0237244635049229;0.6484641638225255;1.4797999999999996;18.3;11.5;43.2
0.009319470205316;0.6484641638225255;1.0417999999999998;12.800000000000002;11.5;48.80000000000001
0.2254038933522164;0.6484641638225255;1.24892244;12.2;11.5;63.1
0.8379477219502738;1.877133105802048;1.5537899999999998;11.0;11.5;71.6
1.4058760570028517;1.877133105802048;1.62778;12.2;11.5;57.900000000000006
1.4058760570028517;1.877133105802048;1.62778;12.2;11.5;61.80000000000001
1.1308081753902548;0.6484641638225255;1.24892244;11.6;11.5;61.80000000000001
0.164;0.6484641638225255;1.24892244;12.2;11.5;66.5
0.07;1.4;0.04;15.3;19.8;70.0
0.07;1.2;0.13;16.0;19.8;70.0
3.86;1.4;1.58;11.0;8.3;79.0
0.02;1.2;0.38;10.5;14.3;58.0
1.93;1.7;1.25;10.5;14.65;79.0
1.84;1.5;0.93;10.5;14.65;78.0
0.92;2.0;1.92;11.9;9.35;80.0
0.5;1.0;0.04;36.0;39.4;23.2
0.45;1.0;0.04;31.0;34.32;21.8
0.1;2.0;0.03;26.0;14.6;32.5
0.0;1.9;0.37;38.2;17.3;44.9
0.11;0.8;0.4;28.3;7.4;61.5
0.0;0.8;0.31;27.6;6.2;48.5
0.1;0.8;1.1;16.8;-15.4;59.8
0.1;0.8;1.03;17.2;-14.7;73.9
0.1;1.6;0.49;10.8;-0.4499999999999999;74.2
0.1;0.8;0.46;27.0;-0.4499999999999999;74.2
0.13;0.8;0.54;25.3;4.3500000000000005;74.6
0.25;0.8;0.29;23.9;-5.35;65.1
0.28;0.8;0.96;24.3;-5.35;65.2
0.06;0.8;0.55;20.1;-17.85;68.6
0.16;1.2;0.26;14.1;-23.25;43.0
0.16;0.8;0.92;14.1;-23.25;43.0
0.47;1.6;0.8;17.7;-17.45;63.9
0.1;0.8;0.45;20.3;-15.4;59.7
0.1;0.8;0.52;20.7;-14.7;60.7
0.6;1.6;1.05;20.1;-14.7;66.2
0.6;1.6;1.24;20.1;-14.7;66.2
0.1;0.8;0.52;27.6;-0.4499999999999999;76.1
0.1;0.8;0.22;27.6;-0.4499999999999999;76.1
0.04;0.8;0.24;24.3;-16.95;34.1
0.04;0.8;0.55;18.6;-8.0;45.3
0.06;0.8;0.84;20.8;-23.45;73.5
0.01;1.6;0.21;16.9;-16.299999999999997;43.9
0.06;1.6;0.22;22.1;-21.6;61.6
0.06;0.8;0.46;19.3;-22.5;64.9
0.16;0.8;0.87;16.4;-23.75;45.0
0.16;0.8;0.87;16.4;-23.75;45.0
0.29;1.2;0.1;26.5;-21.75;74.4
0.29;1.2;0.1;26.2;-21.75;74.4
0.31;0.8;0.63;26.6;-2.7;66.0
0.2;1.6;0.49;27.3;-23.35;73.8
0.39;1.2;0.21;27.1;-23.35;74.8
0.2;1.2;0.2;27.3;-23.35;73.8
