outdoor_air_temperature;air_temperature;relative_humidity;season;country;building_type;air_speed;metabolic_rate;climate;cooling_type
15.6;23.5;51.2;winter;portugal;others;0.04;1.3;warm-summer mediterranean;mixed mode
30.77;28.3;59.6;summer;india;multifamily housing;0.14;1.05;hot semi-arid;mixed mode
28.08;28.5;77.0;cool/dry;india;multifamily housing;0.84;0.93;tropical wet savanna;mixed mode
16.4;24.1;37.0;winter;china;classroom;0.09;1.1;monsoon-influenced hot-summer humid continental;naturally ventilated
15.6;24.8;42.9;summer;portugal;others;0.03;1.2;warm-summer mediterranean;mixed mode
16.333333333333325;23.510000000000005;55.43005191697302;summer;usa;office;0.0666666666666666;1.2;mediterranean;naturally ventilated
29.2;27.0;53.649272404413175;hot/wet;australia;office;0.15;1.2030716723549484;tropical savanna;air conditioned
1.3521437644958496;21.7;14.7;winter;sweden;classroom;0.04;1.8;temperate oceanic;mixed mode
11.5;12.800000000000002;50.80000000000001;winter;pakistan;office;0.0044473733929255;1.1262798634812288;semi arid high altitude;naturally ventilated
24.45;24.5;64.4;summer;germany;office;0.26;1.2;temperate oceanic;naturally ventilated
32.0;33.2;53.0;hot/wet;india;office;0.03;1.2;tropical wet savanna;air conditioned
27.65;28.0;55.0;hot/wet;india;office;0.03;1.0;tropical wet savanna;mixed mode
32.1;22.3;34.80000000000001;hot/wet;thailand;office;0.11;1.1;tropical savanna;air conditioned
30.7;26.8;68.1;hot/wet;thailand;office;0.12;1.1;tropical savanna;air conditioned
17.77777777777778;24.87;58.59748378384651;summer;usa;office;0.1733333333333333;1.0;mediterranean;naturally ventilated
29.75;30.2;36.0;hot/wet;india;office;0.05;1.0;hot semi-arid;mixed mode
35.82;25.4;41.1;summer;india;office;0.27;1.2;hot semi-arid;mixed mode
23.83333333333333;30.895833333333293;28.8527777777778;summer;greece;office;0.438;1.2;mediterranean;naturally ventilated
25.08;24.6;67.7;summer;australia;office;0.1;1.1;humid subtropical;mixed mode
5.0;21.41;26.45065;winter;usa;office;0.0993333333333333;1.2;mediterranean;air conditioned
15.0;22.1;39.4;winter;portugal;others;0.05;1.2;warm-summer mediterranean;mixed mode
24.57999992370605;22.2;53.5;summer;sweden;office;0.1;1.2;temperate oceanic;air conditioned
17.8;22.3;70.6;summer;uk;classroom;0.08;1.2;warm-summerÂ humid continental;naturally ventilated
22.53;19.0;52.9;winter;india;multifamily housing;0.1;1.0;hot semi-arid;naturally ventilated
30.7;25.8;59.400000000000006;hot/wet;thailand;office;0.11;1.1;tropical savanna;air conditioned
17.47;27.1;79.8;winter;india;multifamily housing;0.05;1.2;hot semi-arid;naturally ventilated
8.4;22.3;47.0;winter;uk;classroom;0.05;1.2;warm-summerÂ humid continental;naturally ventilated
33.0;29.6;45.0;hot/wet;india;office;0.07;1.0;hot semi-arid;mixed mode
25.1;30.4;61.73870183131442;summer;australia;office;0.42;1.2030716723549484;humid subtropical;naturally ventilated
16.944444444444443;22.43;63.55100202997678;summer;usa;office;0.0633333333333333;1.3999999999999997;mediterranean;air conditioned
15.75;24.5;43.0;winter;australia;office;0.05;1.5358361774744025;humid subtropical;mixed mode
7.777777777777778;21.87;32.95501233221563;winter;usa;office;0.1066666666666666;1.3999999999999997;mediterranean;air conditioned
30.1;22.7;54.36779070763682;hot/wet;australia;office;0.14;1.0580204778156996;tropical savanna;air conditioned
31.04;23.7;56.1;summer;germany;office;0.06;1.8;temperate oceanic;naturally ventilated
26.35;28.9;64.6;cool/dry;india;office;0.65;1.1;tropical wet savanna;naturally ventilated
23.8;25.0;46.090769475027805;summer;australia;office;0.03;1.0580204778156996;temperature marine;air conditioned
23.61111111111111;22.829999999999995;46.485960000000006;summer;usa;office;0.0763333333333333;1.0;mediterranean;air conditioned
